	bio_celltype
pdacb_cell_0	Cancer
pdacb_cell_1	Ductal - terminal ductal like
pdacb_cell_2	Cancer
pdacb_cell_4	Ductal - terminal ductal like
pdacb_cell_5	Cancer
pdacb_cell_6	Ductal - MHC Class II
pdacb_cell_7	Ductal - terminal ductal like
pdacb_cell_8	Ductal - terminal ductal like
pdacb_cell_9	Ductal - CRISP3 high
pdacb_cell_10	Ductal - terminal ductal like
pdacb_cell_11	Ductal - terminal ductal like
pdacb_cell_12	Ductal - terminal ductal like
pdacb_cell_13	Ductal - terminal ductal like
pdacb_cell_14	Ductal - terminal ductal like
pdacb_cell_15	Ductal - CRISP3 high
pdacb_cell_16	Ductal - terminal ductal like
pdacb_cell_17	Endothelial cells
pdacb_cell_18	Ductal - terminal ductal like
pdacb_cell_19	Cancer
pdacb_cell_20	Ductal - terminal ductal like
pdacb_cell_21	Endothelial cells
pdacb_cell_22	Ductal - terminal ductal like
pdacb_cell_23	Ductal - terminal ductal like
pdacb_cell_24	Endocrine cells
pdacb_cell_25	Ductal - CRISP3 high
pdacb_cell_26	Ductal - terminal ductal like
pdacb_cell_27	Cancer
pdacb_cell_28	Ductal - MHC Class II
pdacb_cell_29	Ductal - terminal ductal like
pdacb_cell_30	Ductal - terminal ductal like
pdacb_cell_31	Ductal - terminal ductal like
pdacb_cell_32	Ductal - terminal ductal like
pdacb_cell_33	Ductal - terminal ductal like
pdacb_cell_34	Ductal - terminal ductal like
pdacb_cell_35	Ductal - terminal ductal like
pdacb_cell_36	Ductal - terminal ductal like
pdacb_cell_37	Ductal - terminal ductal like
pdacb_cell_38	Ductal - terminal ductal like
pdacb_cell_39	Cancer
pdacb_cell_40	Ductal - terminal ductal like
pdacb_cell_41	Ductal - terminal ductal like
pdacb_cell_42	Ductal - terminal ductal like
pdacb_cell_43	Cancer
pdacb_cell_44	Ductal - terminal ductal like
pdacb_cell_45	mDCs
pdacb_cell_46	Ductal - terminal ductal like
pdacb_cell_47	Cancer
pdacb_cell_48	Ductal - terminal ductal like
pdacb_cell_49	Ductal - terminal ductal like
pdacb_cell_50	Cancer
pdacb_cell_51	Ductal - terminal ductal like
pdacb_cell_52	Ductal - terminal ductal like
pdacb_cell_53	Ductal - terminal ductal like
pdacb_cell_54	Ductal - terminal ductal like
pdacb_cell_55	Cancer
pdacb_cell_56	Ductal - MHC Class II
pdacb_cell_57	mDCs
pdacb_cell_58	Ductal - MHC Class II
pdacb_cell_59	Cancer
pdacb_cell_60	Ductal - terminal ductal like
pdacb_cell_61	Ductal - terminal ductal like
pdacb_cell_62	Ductal - terminal ductal like
pdacb_cell_63	Ductal - terminal ductal like
pdacb_cell_64	Ductal - terminal ductal like
pdacb_cell_65	Ductal - terminal ductal like
pdacb_cell_66	Cancer
pdacb_cell_67	Cancer
pdacb_cell_68	Ductal - terminal ductal like
pdacb_cell_69	Ductal - terminal ductal like
pdacb_cell_70	Ductal - terminal ductal like
pdacb_cell_71	Ductal - CRISP3 high
pdacb_cell_72	Cancer
pdacb_cell_73	Cancer
pdacb_cell_74	Ductal - terminal ductal like
pdacb_cell_75	Ductal - terminal ductal like
